Label,Start,Stop
Control,0,900
60_uM_Acetylcholine,1000,1900
60_uM_Acetylcholine_and_10_uM_Curare,2100,3000
Washout,3100,4000
Time,Area,Amplitude,Duration,Fractional_Peak,Frequency
5.07272,0.026208,0.090557,0.59336,0.183598,-1
26.21608,0.028043,0.113858,0.58908,0.243617,0.047296
46.0956,0.024261,0.098068,0.51487,0.143318,0.050303
65.82787,0.027614,0.113124,0.54549,0.142239,0.050678
90.1839,0.024196,0.105686,0.55057,0.148991,0.041058
111.44786,0.024267,0.102433,0.50586,0.202685,0.047028
128.48954,0.02866,0.11785,0.54893,0.173629,0.05868
150.07296,0.025327,0.112314,0.51812,0.122809,0.046332
167.0369,0.021654,0.086393,0.45835,0.1455,0.058949
184.89251,0.024263,0.110819,0.42516,0.170477,0.056005
202.53824,0.02431,0.116142,0.48357,0.167153,0.056671
219.68776,0.022941,0.114982,0.45029,0.209265,0.058311
237.50207,0.024371,0.108453,0.50865,0.204306,0.056135
253.67532,0.02012,0.102718,0.49326,0.13425,0.06183
273.57598,0.026516,0.109631,0.51926,0.198725,0.05025
291.69478,0.021831,0.100874,0.46718,0.249133,0.055191
311.33813,0.023381,0.105972,0.4889,0.215545,0.050908
328.33635,0.020507,0.0862,0.54348,0.267149,0.05883
346.05992,0.023632,0.100398,0.54269,0.193886,0.056422
362.83868,0.022895,0.11495,0.44445,0.222995,0.059599
379.07918,0.024583,0.123545,0.46996,0.202102,0.061574
395.35486,0.023509,0.105465,0.48626,0.200078,0.061441
413.67093,0.023578,0.102102,0.56321,0.198612,0.054597
430.82958,0.024173,0.105791,0.52304,0.116186,0.05828
446.33207,0.020902,0.094814,0.52991,0.208545,0.064506
460.86064,0.020109,0.093005,0.57613,0.257303,0.06883
475.89651,0.022566,0.103813,0.45528,0.222347,0.066508
493.76404,0.022292,0.104498,0.48301,0.189499,0.055967
509.39577,0.022054,0.088798,0.49013,0.193296,0.063972
524.23061,0.028155,0.138127,0.42685,0.124962,0.067409
541.58718,0.023866,0.108012,0.39951,0.143501,0.057615
557.84102,0.024552,0.100147,0.46379,0.174583,0.061524
573.22051,0.023838,0.090238,0.4906,0.195393,0.065022
590.0661,0.021473,0.098214,0.46422,0.206303,0.059363
602.26666,0.022182,0.103047,0.49134,0.191476,0.081963
616.80162,0.021971,0.108596,0.49304,0.121349,0.0688
630.45202,0.024512,0.115431,0.53819,0.104257,0.073258
645.31417,0.022115,0.095985,0.52721,0.120275,0.067285
658.81007,0.021924,0.098637,0.54075,0.231475,0.074097
672.77339,0.020562,0.095594,0.4297,0.130323,0.071616
687.60827,0.023209,0.103747,0.5248,0.198361,0.067409
701.07505,0.024512,0.106226,0.45984,0.141593,0.074257
715.21521,0.021602,0.100511,0.46927,0.241908,0.070721
728.43827,0.022407,0.120953,0.40732,0.134661,0.075625
745.38722,0.022877,0.098042,0.46163,0.197474,0.059001
760.99781,0.022554,0.104097,0.47939,0.182044,0.064059
776.02137,0.023067,0.117876,0.48055,0.127812,0.066562
792.49597,0.02089,0.091685,0.43048,0.206885,0.0607
809.05676,0.023343,0.108406,0.45944,0.142826,0.060384
823.4153,0.023761,0.101359,0.47493,0.16274,0.069645
841.35898,0.023074,0.097136,0.44823,0.124512,0.05573
856.23516,0.022971,0.104976,0.50576,0.1528,0.067222
873.34039,0.021809,0.095482,0.46489,0.233087,0.058462
887.813,0.024529,0.101808,0.45778,0.172048,0.069096
905.44467,0.020816,0.094319,0.41594,0.170025,0.056716
922.93615,0.022265,0.122267,0.6103,0.163723,0.057171
939.41351,0.024058,0.107704,0.41098,0.122171,0.060689
956.36114,0.022742,0.095404,0.42505,0.206211,0.059005
972.91767,0.021059,0.102434,0.43898,0.317828,0.060399
990.56065,0.023859,0.10841,0.50346,0.144877,0.05668
1007.00008,0.024725,0.114894,0.4582,0.134679,0.060829
1019.76411,0.025171,0.109714,0.41379,0.094444,0.078345
1033.00196,0.021906,0.115246,0.40353,0.124328,0.075541
1044.42795,0.022676,0.111293,0.38624,0.125414,0.08752
1055.9264,0.023662,0.108862,0.38368,0.146971,0.086968
1068.05161,0.023485,0.101221,0.49089,0.168225,0.082473
1083.6086,0.022442,0.108712,0.47482,0.092203,0.06428
1100.77931,0.027538,0.111447,0.50767,0.135226,0.058239
1116.01644,0.02491,0.107207,0.46867,0.162908,0.065629
1132.35519,0.026352,0.124535,0.41493,0.137348,0.061204
1149.13897,0.028329,0.119427,0.49181,0.126777,0.059581
1168.95678,0.024009,0.104891,0.52315,0.131893,0.05046
1186.51363,0.025852,0.103448,0.43954,0.197365,0.056958
1205.04065,0.022673,0.096809,0.418,0.150048,0.053975
1227.29435,0.030004,0.128034,0.4326,0.083773,0.044936
1248.34427,0.027218,0.132631,0.57199,0.122275,0.047506
1266.66807,0.033097,0.121186,0.63881,0.119128,0.054574
1286.65363,0.026256,0.100502,0.51454,0.105551,0.050036
