Label, Start, Stop
Control, 0.000000, 900.000000
60_uM_Acetylcholine, 1015.000000, 1915.000000
60_uM_Acetylcholine_and_10_uM_Curare, 2000.000000, 2900.000000
Washout, 3000.000000, 3900.000000
Time, Area, Amplitude, Duration, Fractional_Peak, Frequency
1.744530, 0.042721, 0.131529, 0.568810, 0.108050, -1
16.370470, 0.042547, 0.133203, 0.662830, 0.120800, 0.068372
32.104810, 0.045694, 0.119078, 0.629760, 0.093004, 0.063555
47.517430, 0.043451, 0.115807, 0.627420, 0.084329, 0.064882
60.910430, 0.047051, 0.132600, 0.584160, 0.100092, 0.074666
75.412260, 0.059870, 0.211295, 0.611890, 0.111654, 0.068957
87.945600, 0.041128, 0.120445, 0.603020, 0.101473, 0.079787
97.767250, 0.041985, 0.132346, 0.621140, 0.109669, 0.101816
115.260000, 0.044230, 0.128319, 0.631610, 0.131664, 0.057167
131.000460, 0.042576, 0.125127, 0.615340, 0.130042, 0.063531
148.087180, 0.044918, 0.130872, 0.617060, 0.097884, 0.058525
166.837210, 0.044102, 0.142637, 0.615150, 0.087426, 0.053333
179.404070, 0.043183, 0.130637, 0.596160, 0.078637, 0.079574
191.327630, 0.047112, 0.133488, 0.621090, 0.099680, 0.083868
207.426340, 0.044011, 0.131011, 0.624140, 0.113789, 0.062117
224.518150, 0.046195, 0.137186, 0.582720, 0.134095, 0.058508
240.663350, 0.047145, 0.139143, 0.616750, 0.143575, 0.061938
256.931990, 0.045593, 0.131499, 0.638020, 0.111391, 0.061468
271.099190, 0.046308, 0.134493, 0.655100, 0.117845, 0.070586
282.115370, 0.044762, 0.125271, 0.615330, 0.130044, 0.090776
291.943040, 0.040698, 0.109890, 0.627140, 0.166390, 0.101754
308.575270, 0.046307, 0.132433, 0.672980, 0.149960, 0.060124
323.538220, 0.045644, 0.133646, 0.687780, 0.138853, 0.066832
341.991310, 0.047191, 0.140341, 0.604210, 0.066616, 0.054191
356.137790, 0.050899, 0.152094, 0.646490, 0.104039, 0.070689
371.710190, 0.045160, 0.126755, 0.652450, 0.081769, 0.064216
389.045880, 0.050130, 0.140906, 0.691070, 0.114446, 0.057684
400.641240, 0.050178, 0.141605, 0.725420, 0.123446, 0.086241
417.474470, 0.047167, 0.126667, 0.609820, 0.103834, 0.059406
430.583870, 0.045109, 0.132040, 0.614650, 0.107573, 0.076281
445.158750, 0.047935, 0.131917, 0.639510, 0.108552, 0.068611
455.162920, 0.042123, 0.133429, 0.677340, 0.081554, 0.099958
462.615730, 0.047190, 0.129745, 0.636410, 0.148992, 0.134178
476.019740, 0.048686, 0.124821, 0.615630, 0.111739, 0.074605
488.959200, 0.049129, 0.138087, 0.638800, 0.110144, 0.077283
504.701470, 0.055234, 0.152596, 0.652410, 0.107524, 0.063523
518.894730, 0.047829, 0.130785, 0.649130, 0.127201, 0.070456
531.497670, 0.043300, 0.124058, 0.574210, 0.114105, 0.079347
547.190500, 0.043219, 0.127536, 0.653210, 0.164786, 0.063723
559.120510, 0.048474, 0.122771, 0.647070, 0.127003, 0.083822
573.191100, 0.045953, 0.134150, 0.640110, 0.107528, 0.071070
590.322250, 0.048122, 0.142453, 0.612680, 0.095531, 0.058373
605.382200, 0.047658, 0.130463, 0.598780, 0.080915, 0.066401
618.196870, 0.049785, 0.150433, 0.618540, 0.111100, 0.078036
633.737980, 0.049401, 0.141167, 0.637830, 0.076102, 0.064345
648.127260, 0.046807, 0.133801, 0.668100, 0.130924, 0.069496
662.977170, 0.043859, 0.115205, 0.603890, 0.089106, 0.067340
676.629700, 0.041553, 0.126918, 0.672950, 0.078000, 0.073246
692.038000, 0.050362, 0.150023, 0.627810, 0.118937, 0.064900
704.262820, 0.046498, 0.155025, 0.654740, 0.106806, 0.081801
719.135290, 0.048481, 0.131610, 0.605300, 0.067091, 0.067238
734.653660, 0.045098, 0.132623, 0.607140, 0.101328, 0.064440
750.181650, 0.048392, 0.127102, 0.654820, 0.095400, 0.064400
