Label, Start, Stop
Control, 0.000000, 900.000000
60_uM_Acetylcholine, 1000.000000, 1900.000000
60_uM_Acetylcholine_and_10_uM_Curare, 2000.000000, 2900.000000
Washout, 3000.000000, 3900.000000
Time, Area, Amplitude, Duration, Fractional_Peak, Frequency
27.139860, 0.022122, 0.077203, 0.502470, 0.169423, -1
75.753030, 0.035539, 0.101721, 1.252540, 0.448936, 0.020571
130.724130, 0.026681, 0.085279, 0.495920, 0.128771, 0.018191
176.756850, 0.025086, 0.097377, 0.490400, 0.145473, 0.021724
214.937590, 0.021748, 0.099658, 0.448400, 0.127052, 0.026191
265.005740, 0.024367, 0.094883, 0.535580, 0.255816, 0.019973
324.665970, 0.021497, 0.079476, 0.605790, 0.149623, 0.016762
374.095520, 0.025758, 0.092202, 0.675190, 0.247901, 0.020231
424.946340, 0.031330, 0.102084, 0.798460, 0.550961, 0.019665
476.466250, 0.027014, 0.092889, 0.704600, 0.188944, 0.019410
548.394190, 0.033506, 0.109160, 0.525350, 0.163643, 0.013903
603.715050, 0.028756, 0.109526, 0.574610, 0.155097, 0.018076
677.157390, 0.029904, 0.104691, 0.535000, 0.153458, 0.013616
751.196530, 0.029673, 0.100543, 0.723540, 0.216823, 0.013506
827.751390, 0.030280, 0.100977, 0.514460, 0.120476, 0.013063
878.293500, 0.030873, 0.116785, 0.619350, 0.213466, 0.019785
936.653670, 0.030131, 0.106457, 0.564620, 0.166856, 0.017135
990.071890, 0.034156, 0.244318, 0.404540, 0.011124, 0.018720
1038.416070, 0.029185, 0.093512, 0.525840, 0.108969, 0.020685
1119.830240, 0.030562, 0.092407, 0.660200, 0.174402, 0.012283
1171.373970, 0.030294, 0.090742, 0.599000, 0.134207, 0.019401
1204.704010, 0.025891, 0.081029, 0.520890, 0.114458, 0.030003
1254.110000, 0.030290, 0.084623, 0.573410, 0.146701, 0.020240
1316.133460, 0.034845, 0.091670, 0.668710, 0.081186, 0.016123
1377.301230, 0.030085, 0.088020, 0.544480, 0.092161, 0.016348
1429.275060, 0.038427, 0.111680, 0.578920, 0.078094, 0.019240
1480.387910, 0.033400, 0.089132, 0.604010, 0.091886, 0.019565
1531.603110, 0.031847, 0.086866, 0.589480, 0.143177, 0.019525
1593.150930, 0.031160, 0.090902, 0.561950, 0.067355, 0.016248
1637.069520, 0.038595, 0.099216, 0.615460, 0.083937, 0.022769
1683.216380, 0.029286, 0.079963, 0.576160, 0.109362, 0.021670
1732.977150, 0.030769, 0.084617, 0.588520, 0.120302, 0.020096
1761.840530, 0.032874, 0.095766, 0.595860, 0.067549, 0.034646
1795.595130, 0.034291, 0.100978, 0.688480, 0.055310, 0.029626
1852.083630, 0.036081, 0.100455, 0.662880, 0.088372, 0.017703
1899.774310, 0.028834, 0.080636, 0.561090, 0.093746, 0.020968
1938.089640, 0.029158, 0.088645, 0.663880, 0.103919, 0.026099
1998.189230, 0.025940, 0.077197, 0.545490, 0.120900, 0.016639
2061.259950, 0.029564, 0.098732, 0.586830, 0.070242, 0.015855
2118.994310, 0.037744, 0.108650, 0.761680, 0.057504, 0.017321
2203.018120, 0.037713, 0.096662, 0.630460, 0.073359, 0.011901
2252.881890, 0.026789, 0.080062, 0.554320, 0.094296, 0.020055
2303.874610, 0.035173, 0.089211, 0.635450, 0.072043, 0.019611
2375.752980, 0.034683, 0.086046, 0.682730, 0.094869, 0.013912
2421.735730, 0.031234, 0.082249, 0.689170, 0.075816, 0.021747
2467.036030, 0.034564, 0.092467, 0.792740, 0.069569, 0.022075
2537.387700, 0.035931, 0.092646, 0.670940, 0.091275, 0.014214
2582.045160, 0.032164, 0.111026, 0.544140, 0.099294, 0.022393
2650.048390, 0.037347, 0.100809, 0.654130, 0.098665, 0.014705
2714.642670, 0.045192, 0.108136, 0.791930, 0.082229, 0.015481
2744.995500, 0.039332, 0.107502, 0.768790, 0.057766, 0.032946
2793.959510, 0.039138, 0.090150, 0.724540, 0.111257, 0.020423
2868.740320, 0.042415, 0.100254, 0.784670, 0.156219, 0.013372
2929.233580, 0.039515, 0.101536, 0.656740, 0.100512, 0.016531
2972.466930, 0.033068, 0.105397, 0.643950, 0.083640, 0.023130
3011.776390, 0.034878, 0.096719, 0.668540, 0.095282, 0.025439
3044.415340, 0.028116, 0.099034, 0.544110, 0.114922, 0.030638
3085.929400, 0.036954, 0.109530, 0.734720, 0.214762, 0.024088
3139.562070, 0.036292, 0.114185, 0.576240, 0.099455, 0.018645
3208.365990, 0.035728, 0.103479, 0.595600, 0.079533, 0.014534
3301.487700, 0.033318, 0.099272, 0.552330, 0.132529, 0.010739
3356.611170, 0.035045, 0.109887, 0.526980, 0.140594, 0.018141
3414.237100, 0.037729, 0.124437, 0.586020, 0.131839, 0.017353
3476.047060, 0.036378, 0.095332, 0.599590, 0.114545, 0.016179
3549.811880, 0.031887, 0.101832, 0.557400, 0.099982, 0.013557
3614.761560, 0.039373, 0.113294, 0.609330, 0.131439, 0.015397
3685.605670, 0.032270, 0.110851, 0.581640, 0.206451, 0.014115
3793.720580, 0.033566, 0.107548, 0.561840, 0.139168, 0.009249
3866.094830, 0.032141, 0.099246, 0.586180, 0.132144, 0.013817
3953.190601, 0.037875, 0.111896, 0.630405, 0.196634, 0.011482
4004.021900, 0.029290, 0.102058, 0.533360, 0.132162, 0.019673
4060.893430, 0.032727, 0.104952, 0.548430, 0.196452, 0.017583
4145.580980, 0.034186, 0.103893, 0.602920, 0.138012, 0.011808
4233.511250, 0.040624, 0.115217, 0.595870, 0.136439, 0.011373
