Label,Start,Stop
Control,0,900
60_uM_Acetylcholine,1000,1900
60_uM_Acetylcholine_and_10_uM_Curare,2000,2900
Washout,3000,3900
60_uM_Acetylcholine_and_10_uM_Curare_2,4200,5100
60_uM_Acetylcholine_and_100_uM_Curare,5200,6100
Time,Area,Amplitude,Duration,Fractional_Peak,Frequency
5.72836,0.04116,0.117708,0.73028,0.070658,-1
17.69275,0.057369,0.107327,1.34434,0.028438,0.083581
29.77624,0.041749,0.124371,0.77573,0.114395,0.082758
41.521,0.042933,0.115915,0.74347,0.066351,0.085144
52.74727,0.042261,0.114755,0.84258,0.089131,0.089077
65.22784,0.038885,0.105524,0.74858,0.065537,0.080125
76.45157,0.040592,0.121978,0.74052,0.055096,0.089097
88.62002,0.038453,0.11356,0.68897,0.087333,0.08218
100.51794,0.040458,0.107654,0.84332,0.054534,0.084048
112.79984,0.041205,0.107365,0.75089,0.091811,0.081421
126.33997,0.041154,0.108357,0.82249,0.066943,0.073855
138.2831,0.041941,0.113826,0.69929,0.060676,0.08373
150.30483,0.039662,0.112065,0.74232,0.052147,0.083183
162.89382,0.040227,0.10729,0.79062,0.095368,0.079434
173.87247,0.059563,0.119313,1.63565,0.036842,0.091086
186.69316,0.037587,0.115881,0.60133,0.089518,0.077999
198.89221,0.034698,0.097184,0.6663,0.10983,0.081974
211.3873,0.038446,0.114194,0.70737,0.077286,0.080031
222.65116,0.039814,0.112611,0.73252,0.074524,0.08878
234.52127,0.041496,0.10739,0.72918,0.100236,0.084245
246.85208,0.039541,0.117989,0.75654,0.057247,0.081098
259.12102,0.037728,0.122514,0.66024,0.066294,0.081507
270.9522,0.036583,0.103495,0.7221,0.082731,0.084522
284.75547,0.037603,0.105761,0.6518,0.08406,0.072447
297.6466,0.040741,0.103213,0.80989,0.06859,0.077573
309.62669,0.032912,0.096281,0.62518,0.106049,0.083472
322.55961,0.032512,0.103682,0.67526,0.093386,0.077322
335.41198,0.038066,0.113144,0.74827,0.08819,0.077807
348.09969,0.039795,0.123218,0.71911,0.107494,0.078816
360.8595,0.035407,0.10696,0.74198,0.096081,0.078371
372.36188,0.032126,0.098256,0.59172,0.106621,0.086939
383.5202,0.03667,0.100419,0.68393,0.135087,0.089619
395.67524,0.034411,0.104553,0.65026,0.093778,0.08227
409.15644,0.057119,0.102797,1.603285,0.034055,0.074177
422.31976,0.030711,0.086771,0.66336,0.137105,0.075969
433.98924,0.033942,0.092576,0.57244,0.105042,0.085694
445.94159,0.035799,0.113309,0.69309,0.15669,0.083666
457.73197,0.035272,0.105677,0.69163,0.090829,0.084815
468.62472,0.037488,0.113198,0.68191,0.103767,0.091804
480.39308,0.036067,0.111339,0.66168,0.118653,0.084974
492.481,0.034717,0.099208,0.68744,0.091295,0.082727
503.43089,0.034114,0.097663,0.67321,0.113932,0.091325
514.28426,0.031274,0.092731,0.77708,0.106656,0.092137
526.90959,0.034908,0.108349,0.67344,0.101568,0.079206
539.68205,0.034808,0.097873,0.64098,0.117196,0.078293
550.89671,0.035838,0.093151,0.67747,0.104772,0.089169
562.38663,0.034098,0.102141,0.59403,0.107873,0.087033
575.06934,0.03849,0.101114,0.82879,0.099905,0.078848
586.65782,0.037132,0.119225,0.68673,0.117499,0.086293
599.08102,0.037233,0.10215,0.64897,0.091591,0.080495
610.7944,0.037826,0.126541,0.60258,0.120133,0.085372
623.77724,0.034418,0.098801,0.65292,0.105557,0.077025
636.69172,0.035649,0.103221,0.73685,0.124883,0.077432
649.9488,0.036367,0.115733,0.68867,0.095227,0.075431
663.28873,0.037643,0.105108,0.65137,0.121314,0.074963
675.83946,0.056146,0.118061,1.718664,0.038216,0.079677
689.71524,0.033376,0.097693,0.60552,0.110533,0.072068
703.22463,0.032849,0.097909,0.64908,0.154187,0.074023
716.19498,0.036309,0.099879,0.7377,0.186539,0.077099
728.03658,0.035772,0.113476,0.63713,0.113697,0.084448
740.78587,0.039752,0.106969,0.72268,0.133545,0.078436
753.93262,0.034989,0.114489,0.61045,0.171791,0.076064
766.06772,0.032654,0.102821,0.60145,0.174362,0.082406
778.86507,0.035896,0.107791,0.70067,0.10557,0.078141
791.32295,0.037079,0.113363,0.68546,0.105973,0.08027
805.00272,0.039753,0.120871,0.6912,0.109317,0.073101
816.81661,0.037543,0.104895,0.75197,0.105283,0.084646
829.67824,0.035159,0.115092,0.73238,0.10698,0.077751
841.94425,0.035358,0.113869,0.69272,0.084493,0.081526
855.23695,0.037213,0.110006,0.65324,0.118578,0.075229
868.59962,0.040112,0.119145,0.69154,0.111881,0.074835
881.08437,0.035616,0.108442,0.6257,0.119882,0.080098
895.13363,0.040637,0.111241,0.80857,0.058808,0.071178
908.93805,0.037517,0.11829,0.62864,0.095667,0.072441
920.91457,0.03508,0.111087,0.5696,0.146348,0.083497
932.40508,0.037418,0.121958,0.66707,0.133554,0.087028
945.69986,0.03094,0.107568,0.59286,0.17225,0.075217
958.18572,0.041326,0.111195,0.70612,0.136606,0.080091
970.77512,0.036422,0.121162,0.65687,0.108195,0.079432
983.44893,0.056977,0.12548,1.574109,0.019706,0.078903
996.95536,0.032654,0.110323,0.56272,0.152456,0.074039
1008.54135,0.032239,0.103702,0.62422,0.201612,0.086311
1018.87047,0.03488,0.109043,0.53422,0.128674,0.096814
1030.40303,0.034973,0.129988,0.72627,0.184656,0.086711
1040.92836,0.0327,0.102065,0.64149,0.140345,0.095009
1052.0908,0.037913,0.10764,0.7104,0.136247,0.089586
1062.15594,0.031404,0.097808,0.62543,0.173545,0.099353
1074.45778,0.034536,0.100658,0.64288,0.113567,0.081289
1083.71302,0.031965,0.108116,0.65321,0.179667,0.108047
1094.3176,0.035553,0.114788,0.68228,0.144208,0.094299
1104.49495,0.037383,0.119894,0.6296,0.129352,0.098257
1114.25926,0.032427,0.095903,0.6262,0.191185,0.102414
1124.02091,0.034318,0.099786,0.66135,0.114387,0.102442
1133.61686,0.032796,0.097835,0.76303,0.114976,0.104211
1143.52574,0.033089,0.10429,0.6121,0.130207,0.10092
1154.20759,0.037096,0.105643,0.765,0.121425,0.093617
1165.44167,0.03374,0.094374,0.71809,0.160579,0.089015
1180.93692,0.04071,0.101444,0.86269,0.08499,0.064536
1192.51659,0.036028,0.097149,0.71462,0.114942,0.086358
1201.27103,0.035112,0.103565,0.63038,0.150925,0.114228
1211.70818,0.033596,0.113058,0.65126,0.12439,0.095812
1221.87761,0.036454,0.105542,0.64438,0.12938,0.098334
1231.44565,0.034624,0.107761,0.65481,0.209496,0.104515
1242.05329,0.038904,0.094576,0.68334,0.10077,0.094272
1251.88094,0.035072,0.107654,0.67922,0.126395,0.101754
1261.78313,0.034609,0.101329,0.67951,0.173802,0.100988
1274.68334,0.035137,0.097364,0.71964,0.201045,0.077518
1286.17442,0.037335,0.115633,0.72053,0.126768,0.087024
1297.11962,0.032956,0.099355,0.68708,0.146038,0.091364
1306.90876,0.044193,0.094646,0.96462,0.085847,0.102154
1317.7596,0.033923,0.105521,0.68503,0.219406,0.092159
1327.72218,0.034665,0.104036,0.63825,0.138692,0.100376
1335.49888,0.034486,0.111693,0.76261,0.181862,0.128589
1347.01377,0.03173,0.100864,0.67555,0.172008,0.086844
1359.13891,0.034465,0.095384,0.71672,0.100513,0.082473
1370.29083,0.038099,0.109751,0.81877,0.093506,0.089671
1382.55848,0.054066,0.107767,1.498927,0.062245,0.081515
1403.09336,0.038184,0.102292,0.69841,0.128893,0.048698
1413.79519,0.034524,0.11046,0.63839,0.129686,0.093442
1426.51852,0.036326,0.105656,0.61245,0.128043,0.078596
1436.73978,0.037048,0.114811,0.61991,0.128712,0.097835
1450.59134,0.035386,0.108449,0.60463,0.158758,0.072194
1468.49391,0.036986,0.100249,0.85813,0.106196,0.055858
1480.49765,0.040006,0.103968,0.7182,0.102492,0.083307
1491.46716,0.039205,0.105263,0.80011,0.148217,0.091162
1502.51632,0.034767,0.102891,0.73746,0.174043,0.090505
1513.7282,0.036602,0.099173,0.71307,0.145329,0.089191
1525.72375,0.037573,0.118123,0.72066,0.206797,0.083364
1536.64298,0.046969,0.100636,1.519118,0.059646,0.091582
1558.1441,0.035817,0.100219,0.65246,0.082488,0.046509
1569.69126,0.036602,0.104789,0.69551,0.138445,0.086601
1581.26521,0.036194,0.099807,0.64921,0.145361,0.086401
1594.3619,0.032189,0.097614,0.66262,0.24794,0.076355
1605.08473,0.035871,0.111305,0.68258,0.12986,0.093259
1617.63283,0.035395,0.102527,0.58938,0.183447,0.079693
1628.46001,0.037898,0.101805,0.64171,0.152187,0.09236
1642.67749,0.032636,0.084107,0.9056,0.146312,0.070336
1655.53831,0.035822,0.100701,0.73933,0.156993,0.077756
1668.5078,0.031459,0.083942,0.60306,0.146022,0.077104
1681.47942,0.036118,0.099342,0.71204,0.176493,0.077091
1693.93919,0.035904,0.101542,0.68431,0.153147,0.080258
1706.68087,0.032697,0.085725,0.69025,0.153408,0.078483
1718.88965,0.034663,0.091899,0.69154,0.103161,0.081908
1731.7619,0.047482,0.10317,1.543638,0.059049,0.077686
1745.02721,0.034877,0.092703,0.71961,0.272217,0.075385
1756.68893,0.035498,0.095693,0.69558,0.176026,0.085751
1769.13654,0.031986,0.095657,0.66234,0.197919,0.080337
1781.26138,0.034168,0.101788,0.72962,0.237672,0.082475
1793.18711,0.034807,0.09627,0.7287,0.163689,0.083852
1805.5474,0.03466,0.090027,0.63525,0.151673,0.080904
1817.31325,0.035797,0.093864,0.79414,0.115269,0.084992
1829.86686,0.03487,0.096059,0.62362,0.24021,0.079658
1842.42096,0.031153,0.0926,0.67784,0.238124,0.079655
1855.68609,0.037244,0.117557,0.69444,0.145887,0.075386
1869.05657,0.035193,0.100944,0.8067,0.169815,0.074792
1882.0177,0.032169,0.092984,0.66079,0.166937,0.077154
1893.64833,0.031802,0.088638,0.64833,0.139204,0.08598
1907.08458,0.049717,0.100148,2.008253,0.063657,0.074426
1921.36227,0.030998,0.088264,0.70347,0.225198,0.070039
1936.5047,0.034087,0.098164,0.65962,0.168946,0.06604
1947.70163,0.035729,0.094321,0.76806,0.132945,0.08931
1959.39616,0.032974,0.093685,0.63934,0.265008,0.08551
1972.6957,0.040063,0.100071,0.69882,0.165722,0.075191
1987.69448,0.037769,0.104495,0.72564,0.126109,0.066672
2001.44761,0.037431,0.098193,0.63608,0.144416,0.072711
2016.0353,0.037067,0.089867,0.64061,0.095034,0.068551
2029.97886,0.035548,0.105728,0.71196,0.170698,0.071718
2043.66093,0.037005,0.10106,0.63258,0.216953,0.073088
2057.15887,0.036275,0.095758,0.74771,0.262267,0.074085
2070.3805,0.040628,0.095265,0.78237,0.144062,0.075634
2085.21073,0.0355,0.10743,0.77477,0.193167,0.06743
2099.62934,0.03697,0.100921,0.82046,0.156071,0.069355
2112.75582,0.051612,0.107848,1.437701,0.072512,0.076182
2137.91677,0.03679,0.103655,0.66945,0.18914,0.039744
2153.16464,0.037767,0.096372,0.67334,0.145929,0.065583
2167.77176,0.037031,0.096318,0.82624,0.129224,0.06846
2182.0191,0.036705,0.103394,0.64973,0.160467,0.070189
2196.11715,0.036442,0.094241,0.74774,0.133228,0.070932
2211.84284,0.037352,0.114509,0.65347,0.133671,0.06359
2225.28733,0.03313,0.09704,0.62062,0.15412,0.07438
2236.73277,0.035545,0.11112,0.5795,0.151544,0.087371
2250.78722,0.049294,0.098287,1.784124,0.055882,0.071152
2276.0008,0.035487,0.094124,0.59445,0.194112,0.039661
2290.75353,0.03343,0.099916,0.66731,0.194063,0.067784
2305.69277,0.035512,0.097321,0.69805,0.236559,0.066938
2318.10337,0.033542,0.087415,0.68497,0.175219,0.080576
2331.38757,0.035768,0.09325,0.73909,0.188962,0.075277
2346.79534,0.034485,0.09978,0.67461,0.193045,0.064902
2361.50886,0.036392,0.096116,0.6967,0.162222,0.067965
2374.13433,0.031709,0.096732,0.68527,0.202329,0.079205
2389.58838,0.047405,0.100394,1.919137,0.051648,0.064708
2404.84871,0.02981,0.089755,0.53653,0.245392,0.065529
2429.09643,0.034661,0.097679,0.70706,0.156465,0.041241
2440.59759,0.033967,0.086726,0.7104,0.113922,0.086948
2454.41299,0.034787,0.09244,0.6528,0.106602,0.072383
2468.62394,0.034436,0.096085,0.6449,0.222779,0.070368
2483.13573,0.033784,0.092023,0.66791,0.134539,0.068909
2496.92642,0.033271,0.089827,0.66617,0.158083,0.072513
2509.75401,0.032943,0.096277,0.66418,0.223704,0.077957
2523.32821,0.032176,0.09051,0.76872,0.199657,0.073669
2535.62427,0.033063,0.089419,0.6968,0.183266,0.081327
2551.41983,0.035653,0.091251,0.67949,0.103239,0.063309
2564.85279,0.031132,0.084441,0.62082,0.22691,0.074444
2577.62785,0.034882,0.106339,0.66186,0.171124,0.078278
2590.54628,0.035832,0.087771,0.71038,0.19208,0.077409
2604.76288,0.031258,0.087206,0.70782,0.134639,0.07034
2618.4331,0.032625,0.088099,0.70876,0.191659,0.073152
2632.5439,0.031116,0.089263,0.62177,0.19467,0.070868
