Label,Start,Stop
Control,0,900
60_uM_Acetylcholine,1000,1900
60_uM_Acetylcholine_and_10_uM_Curare,2000,2900
Washout,3000,3900
Time,Area,Amplitude,Duration,Fractional_Peak,Frequency
0.37012,0.020834,0.070362,0.53626,0.128427,-1
14.82311,0.021972,0.072017,0.51743,0.129989,0.06919
27.69224,0.022211,0.07197,0.57089,0.131251,0.077705
40.31262,0.023049,0.08684,0.59567,0.136216,0.079237
54.12215,0.023247,0.076993,0.53492,0.085284,0.072414
69.6572,0.031736,0.077447,0.97338,0.06573,0.064371
87.39831,0.023674,0.07555,0.5475,0.134648,0.056366
102.92005,0.023983,0.08163,0.56639,0.109712,0.064426
119.46245,0.024586,0.087805,0.59392,0.08912,0.060451
137.15457,0.024917,0.082392,0.62809,0.096515,0.056522
146.75438,0.024818,0.084213,0.52976,0.101197,0.104169
159.76387,0.041113,0.096358,1.252932,0.031382,0.076867
183.19892,0.028474,0.083628,0.60332,0.10308,0.042671
203.11699,0.026349,0.100771,0.6008,0.098768,0.050206
220.0637,0.027244,0.090379,0.60098,0.090635,0.059009
236.10047,0.026896,0.086119,0.56548,0.099243,0.062357
252.69052,0.028829,0.098468,0.62629,0.076738,0.060277
265.55005,0.042364,0.093267,1.286344,0.050173,0.077763
284.09571,0.025537,0.084743,0.51477,0.115935,0.053921
298.75044,0.025995,0.087416,0.57864,0.096692,0.068237
316.72008,0.024104,0.075787,0.55478,0.137117,0.055649
335.58114,0.028454,0.095879,0.56391,0.078452,0.053019
350.65157,0.027464,0.090994,0.61116,0.178709,0.066355
364.85593,0.028969,0.102319,0.55585,0.109094,0.070401
380.28122,0.026013,0.088292,0.53724,0.102394,0.064829
394.74538,0.04171,0.095435,1.169539,0.049088,0.069136
416.67459,0.028088,0.096871,0.85042,0.280732,0.045601
433.69192,0.029467,0.101917,0.59486,0.106697,0.058764
447.42671,0.02782,0.09774,0.5425,0.102249,0.072808
463.83556,0.028984,0.103871,0.55882,0.112648,0.060943
481.90093,0.026584,0.090409,0.56176,0.109762,0.055355
496.8345,0.027526,0.092465,0.58084,0.112406,0.066963
514.41081,0.026854,0.093225,0.57308,0.087213,0.056895
