Label, Start, Stop
Control, 0.000000, 900.000000
60_uM_Acetylcholine, 1000.000000, 1900.000000
60_uM_Acetylcholine_and_10_uM_Curare, 2000.000000, 2900.000000
Washout, 3000.000000, 3900.000000
Time, Area, Amplitude, Duration, Fractional_Peak, Frequency
10.390230, 0.019491, 0.053468, 0.692030, 0.179082, -1
21.664480, 0.015309, 0.054047, 0.500610, 0.171191, 0.088698
36.341630, 0.017945, 0.055284, 0.588350, 0.099278, 0.068133
48.310200, 0.015824, 0.048115, 0.638420, 0.291313, 0.083552
62.443930, 0.016711, 0.052030, 0.599710, 0.109436, 0.070753
73.250090, 0.015506, 0.052084, 0.529400, 0.151983, 0.092540
86.247270, 0.016447, 0.053966, 0.503570, 0.105090, 0.076940
99.109320, 0.017802, 0.052393, 0.573810, 0.089002, 0.077748
121.199020, 0.020087, 0.056879, 0.602080, 0.103906, 0.045270
132.929960, 0.015426, 0.055259, 0.518570, 0.193629, 0.085245
143.456800, 0.017440, 0.055428, 0.568730, 0.138836, 0.094995
156.916330, 0.018006, 0.049656, 0.618180, 0.160746, 0.074297
169.917170, 0.017883, 0.048778, 0.578570, 0.110185, 0.076918
180.158980, 0.019712, 0.053751, 0.710490, 0.215921, 0.097639
194.794140, 0.017003, 0.065418, 0.531930, 0.130224, 0.068329
206.303870, 0.017839, 0.061900, 0.616960, 0.188845, 0.086883
218.679710, 0.015575, 0.046172, 0.545670, 0.125112, 0.080803
229.673440, 0.018081, 0.047915, 0.670960, 0.098247, 0.090961
243.080410, 0.016895, 0.056814, 0.593140, 0.220589, 0.074588
257.207380, 0.016291, 0.048165, 0.600450, 0.162428, 0.070787
273.633760, 0.018313, 0.053779, 0.580240, 0.110161, 0.060878
289.069660, 0.014011, 0.052922, 0.530610, 0.154388, 0.064784
301.554830, 0.016141, 0.052631, 0.623400, 0.257138, 0.080095
316.104590, 0.015267, 0.045675, 0.599430, 0.086732, 0.068730
330.356050, 0.016322, 0.049022, 0.567110, 0.117332, 0.070168
345.712620, 0.016485, 0.055165, 0.613010, 0.133701, 0.065119
359.621020, 0.015690, 0.055983, 0.539010, 0.150851, 0.071899
372.187520, 0.015343, 0.053536, 0.525310, 0.103120, 0.079577
384.850050, 0.015683, 0.055416, 0.523890, 0.152914, 0.078973
397.215180, 0.014244, 0.042281, 0.641680, 0.222073, 0.080873
414.690630, 0.017712, 0.060182, 0.570770, 0.116176, 0.057223
425.740520, 0.011531, 0.034621, 0.615970, 0.212640, 0.090499
442.303660, 0.017541, 0.055325, 0.593480, 0.281930, 0.060375
461.786040, 0.014857, 0.051191, 0.494540, 0.157520, 0.051328
473.969930, 0.014135, 0.046348, 0.584850, 0.186646, 0.082076
488.585810, 0.013929, 0.052099, 0.547070, 0.209187, 0.068419
500.647670, 0.013745, 0.045510, 0.603690, 0.232404, 0.082906
513.706000, 0.013222, 0.048723, 0.526620, 0.118738, 0.076579
529.537440, 0.015369, 0.057364, 0.492020, 0.203386, 0.063165
543.062570, 0.015399, 0.052520, 0.553420, 0.180731, 0.073936
557.122360, 0.014878, 0.064570, 0.519630, 0.218136, 0.071125
571.897170, 0.013239, 0.049320, 0.491370, 0.251989, 0.067683
584.695810, 0.013319, 0.044254, 0.545960, 0.170269, 0.078133
599.559360, 0.015029, 0.048309, 0.536600, 0.175494, 0.067279
612.187880, 0.013786, 0.053806, 0.573890, 0.284567, 0.079186
625.748100, 0.013786, 0.049749, 0.453030, 0.082997, 0.073745
637.591550, 0.010042, 0.039360, 0.538310, 0.200628, 0.084435
652.507270, 0.013466, 0.048147, 0.564800, 0.181002, 0.067043
665.733110, 0.012529, 0.040118, 0.670590, 0.231856, 0.075610
681.379450, 0.015277, 0.054571, 0.608380, 0.274582, 0.063913
693.868080, 0.013371, 0.051045, 0.538550, 0.288738, 0.080073
707.336880, 0.011774, 0.051612, 0.456810, 0.201200, 0.074246
721.677980, 0.012698, 0.048595, 0.628330, 0.347238, 0.069730
736.931080, 0.016004, 0.053225, 0.577560, 0.214073, 0.065560
750.606220, 0.012064, 0.045432, 0.516150, 0.261881, 0.073125
764.501970, 0.014590, 0.054285, 0.562610, 0.207853, 0.071964
778.383990, 0.014448, 0.048260, 0.622170, 0.167864, 0.072036
791.901480, 0.012119, 0.044940, 0.574810, 0.264783, 0.073978
806.339140, 0.012912, 0.035248, 0.645850, 0.280948, 0.069263
820.244130, 0.011409, 0.039398, 0.514890, 0.236264, 0.071917
832.036830, 0.012375, 0.048216, 0.470030, 0.218369, 0.084798
846.474170, 0.016556, 0.055741, 0.585160, 0.201090, 0.069265
862.862880, 0.015349, 0.061683, 0.529570, 0.209604, 0.061018
881.664000, 0.016024, 0.057463, 0.588580, 0.194638, 0.053188
896.505160, 0.014312, 0.048961, 0.487910, 0.164006, 0.067380
913.785850, 0.017250, 0.063959, 0.602070, 0.236086, 0.057868
926.621890, 0.014193, 0.057985, 0.511740, 0.182358, 0.077906
939.471780, 0.011621, 0.052924, 0.470510, 0.206436, 0.077822
953.643540, 0.010257, 0.042350, 0.399780, 0.163440, 0.070563
966.639680, 0.015002, 0.042508, 0.640950, 0.329870, 0.076946
980.334360, 0.015376, 0.043360, 0.712940, 0.200325, 0.073021
1005.915750, 0.016837, 0.058885, 0.606040, 0.327767, 0.039091
1019.301960, 0.014815, 0.052423, 0.507620, 0.117076, 0.074704
1037.987530, 0.018084, 0.056896, 0.549650, 0.144929, 0.053517
1052.274290, 0.017484, 0.059351, 0.557960, 0.116317, 0.069995
1063.218440, 0.011820, 0.044707, 0.506000, 0.336166, 0.091373
1076.549400, 0.016556, 0.056389, 0.496550, 0.088450, 0.075013
1086.927490, 0.012658, 0.048081, 0.507300, 0.266627, 0.096357
1096.462140, 0.015094, 0.052265, 0.583240, 0.297733, 0.104881
1116.359120, 0.017449, 0.055347, 0.577540, 0.208332, 0.050259
1129.669470, 0.015157, 0.052408, 0.521610, 0.063304, 0.075130
1146.359120, 0.015991, 0.060455, 0.516800, 0.223820, 0.059917
1165.064620, 0.017457, 0.057610, 0.596030, 0.154069, 0.053460
1181.300020, 0.015719, 0.052235, 0.560280, 0.059560, 0.061594
1198.264080, 0.018660, 0.065614, 0.561550, 0.114113, 0.058948
1225.079040, 0.016858, 0.061241, 0.526180, 0.158824, 0.037293
