Label, Start, Stop
Control, 0.000000, 900.000000
60_uM_Acetylcholine, 1000.000000, 1900.000000
60_uM_Acetylcholine_and_10_uM_Curare, 2000.000000, 2900.000000
Washout, 3000.000000, 3900.000000
Time, Area, Amplitude, Duration, Fractional_Peak, Frequency
3.822760, 0.015919, 0.042821, 0.752320, 0.170712, -1
15.607070, 0.016599, 0.055128, 0.657120, 0.095264, 0.084859
23.664650, 0.017931, 0.051463, 0.765470, 0.087476, 0.124107
33.127230, 0.014967, 0.044864, 0.623990, 0.098175, 0.105679
44.153380, 0.015856, 0.047486, 0.672290, 0.056241, 0.090693
56.668810, 0.015239, 0.043683, 0.749270, 0.168657, 0.079901
63.592510, 0.015944, 0.044309, 0.713790, 0.099861, 0.144431
74.072700, 0.013608, 0.046573, 0.706360, 0.110765, 0.095418
86.382620, 0.015840, 0.047075, 0.659540, 0.130257, 0.081235
94.573830, 0.012011, 0.035318, 0.654460, 0.064068, 0.122082
104.504480, 0.013832, 0.039731, 0.628000, 0.096545, 0.100698
112.151420, 0.014957, 0.050020, 0.723250, 0.116364, 0.130771
122.189290, 0.015862, 0.055443, 0.661750, 0.063921, 0.099623
133.784790, 0.014967, 0.046631, 0.691430, 0.097682, 0.086240
147.019830, 0.016193, 0.048737, 0.696210, 0.053662, 0.075557
158.582720, 0.015031, 0.045415, 0.635980, 0.117441, 0.086484
167.401580, 0.015327, 0.048688, 0.705260, 0.067649, 0.113393
179.998130, 0.014112, 0.046389, 0.699350, 0.082948, 0.079387
189.381710, 0.014501, 0.041282, 0.692820, 0.095725, 0.106569
202.258610, 0.015598, 0.049231, 0.722940, 0.116372, 0.077658
214.544700, 0.017119, 0.045288, 0.646550, 0.065068, 0.081393
225.095920, 0.014014, 0.036872, 0.741370, 0.101946, 0.094776
237.700070, 0.014839, 0.044467, 0.729020, 0.115813, 0.079339
247.932890, 0.016636, 0.051622, 0.692180, 0.084675, 0.097725
258.634850, 0.016157, 0.056330, 0.583820, 0.059419, 0.093441
268.931470, 0.015690, 0.046035, 0.723180, 0.101012, 0.097119
279.280710, 0.022490, 0.049846, 1.496669, 0.041820, 0.096625
292.471420, 0.014452, 0.045238, 0.667720, 0.115527, 0.075811
307.617880, 0.015974, 0.052717, 0.626910, 0.090460, 0.066022
317.459120, 0.016517, 0.045559, 0.600740, 0.066368, 0.101613
326.904510, 0.014416, 0.045234, 0.592690, 0.100019, 0.105872
340.327940, 0.014324, 0.049403, 0.698520, 0.062776, 0.074497
347.982670, 0.016104, 0.049656, 0.682720, 0.100041, 0.130638
359.420200, 0.017801, 0.052898, 0.650260, 0.090902, 0.087431
371.269480, 0.016839, 0.052576, 0.674640, 0.050590, 0.084393
379.984280, 0.015526, 0.050850, 0.681400, 0.078676, 0.114747
390.907030, 0.014685, 0.045352, 0.670770, 0.060453, 0.091552
399.277510, 0.016199, 0.046482, 0.657550, 0.054566, 0.119467
410.055130, 0.015721, 0.054365, 0.628220, 0.099758, 0.092785
416.583550, 0.014073, 0.038366, 0.622740, 0.081318, 0.153176
427.965060, 0.015886, 0.048590, 0.697860, 0.125412, 0.087862
437.737400, 0.014963, 0.044992, 0.688700, 0.079556, 0.102330
449.691980, 0.018253, 0.054462, 0.656890, 0.068109, 0.083650
457.867760, 0.022286, 0.052121, 1.637578, 0.042996, 0.122312
470.941510, 0.015853, 0.054406, 0.648370, 0.141863, 0.076489
483.666960, 0.016955, 0.053153, 0.607170, 0.112703, 0.078583
494.876680, 0.017054, 0.050790, 0.637560, 0.085780, 0.089208
503.494630, 0.017647, 0.055210, 0.656690, 0.090682, 0.116037
516.181610, 0.016555, 0.043313, 0.668190, 0.095631, 0.078821
528.901380, 0.018132, 0.056468, 0.679240, 0.109917, 0.078618
538.313060, 0.017260, 0.046469, 0.636360, 0.098262, 0.106251
549.728620, 0.018028, 0.056116, 0.656530, 0.084672, 0.087600
559.027960, 0.017077, 0.056613, 0.648370, 0.122476, 0.107535
570.775690, 0.017139, 0.055448, 0.625640, 0.114315, 0.085123
583.213680, 0.018618, 0.058483, 0.638060, 0.082594, 0.080399
591.085810, 0.017240, 0.052962, 0.664270, 0.133259, 0.127030
601.884700, 0.018022, 0.053472, 0.703410, 0.081162, 0.092602
611.782950, 0.017727, 0.051814, 0.648320, 0.130615, 0.101028
620.135280, 0.019878, 0.059763, 0.644790, 0.106360, 0.119727
629.520030, 0.017332, 0.051781, 0.629640, 0.091671, 0.106556
642.211200, 0.017136, 0.047387, 0.623200, 0.071839, 0.078795
650.947590, 0.016792, 0.053122, 0.632700, 0.076308, 0.114464
661.618300, 0.017350, 0.050255, 0.701490, 0.112731, 0.093714
667.369050, 0.017779, 0.059836, 0.618440, 0.104343, 0.173890
679.009260, 0.017345, 0.062799, 0.675120, 0.070402, 0.085909
687.382240, 0.016942, 0.053500, 0.782910, 0.115914, 0.119432
698.937820, 0.018573, 0.054880, 0.673170, 0.074781, 0.086538
710.066400, 0.017197, 0.056739, 0.660890, 0.097883, 0.089859
717.497710, 0.023386, 0.068046, 1.469694, 0.062652, 0.134566
730.198560, 0.017313, 0.054964, 0.692130, 0.126609, 0.078735
745.099640, 0.020627, 0.059948, 0.687470, 0.092731, 0.067109
755.250150, 0.017911, 0.053340, 0.673180, 0.061856, 0.098517
766.386580, 0.018357, 0.059046, 0.593140, 0.109502, 0.089795
777.867200, 0.018402, 0.060738, 0.718930, 0.099857, 0.087103
790.348750, 0.017733, 0.056711, 0.727670, 0.117141, 0.080118
798.918760, 0.017545, 0.055884, 0.658980, 0.068394, 0.116686
811.038760, 0.021453, 0.065919, 0.698580, 0.088794, 0.082508
821.972260, 0.016734, 0.053013, 0.733500, 0.089598, 0.091462
831.102630, 0.018412, 0.050243, 0.695720, 0.101219, 0.109525
840.976560, 0.017843, 0.048888, 0.663040, 0.084746, 0.101277
851.148330, 0.018272, 0.058921, 0.645320, 0.084594, 0.098311
864.514690, 0.018682, 0.055319, 0.726990, 0.069011, 0.074815
873.210190, 0.017960, 0.052427, 0.647480, 0.070597, 0.115002
884.497530, 0.018852, 0.053061, 0.667760, 0.110114, 0.088595
892.933860, 0.019835, 0.057060, 0.694010, 0.065892, 0.118535
904.953040, 0.020231, 0.055372, 0.742090, 0.061381, 0.083200
